name,id,artists,genres,explicit,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
The Time I Need,3qDjicRR4yETx2ub0VwQqs,['KIM JAE HWAN'],{'k-pop'},False,2019-12-12,39,0.865,0.487,2,-6.216,1,0.0427,0.792,0.0,0.0833,0.525,104.974,208000
Levanter,4mtPGvoOvfqskC9M3tNZrV,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2019-12-09,62,0.559,0.695,9,-4.722,1,0.0518,0.00747,0.0,0.545,0.349,149.964,195656
Obsession,7fK0csBoqbcgUuWGV0cpoD,['EXO'],"{'k-pop boy group', 'k-pop'}",False,2019-11-27,71,0.704,0.729,7,-3.851,1,0.0624,0.0024,0.0,0.218,0.71,129.992,203520
Blue Flame,6DTeLNeutILDk51f5IZN7d,['ASTRO'],"{'k-pop boy group', 'k-pop'}",False,2019-11-20,61,0.6,0.9,10,-3.048,0,0.136,0.165,0.0,0.101,0.799,173.058,194720
As You Wish,42zMiF3EFBg5CsYbgKdhj1,['WJSN'],"{'k-pop girl group', 'k-pop'}",False,2019-11-19,56,0.652,0.959,6,-0.266,1,0.0617,0.123,0.0,0.311,0.779,112.04,195668
Blueming,4Dr2hJ3EnVh2Aaot6fRwDO,['IU'],{'k-pop'},False,2019-11-18,72,0.819,0.674,0,-3.145,1,0.0587,0.0849,0.0,0.0667,0.682,106.032,217053
ULlala: Poisoning,2KRW7vfIQXiuXchn8O1ISy,['IN2IT'],"{'k-pop boy group', 'k-pop'}",False,2019-11-14,41,0.659,0.857,2,-4.006,0,0.0955,0.0185,0.0,0.0654,0.685,144.819,192653
OOPSIE (My Bad),5TEdFgup4L8CdEZlcqcAHK,['NATURE'],"{'k-pop girl group', 'k-pop'}",False,2019-11-12,45,0.811,0.971,6,-0.939,1,0.167,0.164,2.63e-05,0.0311,0.677,124.967,201893
Utopia - Japanese Ver.,4ipCNXuuajObGmHo1FNfM7,['ATEEZ'],"{'k-pop boy group', 'k-pop'}",False,2019-12-04,39,0.636,0.728,1,-4.243,0,0.0334,0.00958,0.0,0.307,0.544,115.999,238760
FLOWER SHOWER,3wljaQ1KBCAMnPxCPDEUsC,['HyunA'],{'k-pop'},False,2019-11-05,62,0.901,0.548,0,-5.573,1,0.0976,0.0889,4.88e-05,0.0697,0.569,99.996,188373
You Calling My Name,6f4wghlwYWGLqGEIKc6HDQ,['GOT7'],"{'k-pop boy group', 'k-pop'}",False,2019-11-04,69,0.813,0.667,0,-4.061,0,0.0616,0.0917,0.0,0.0802,0.514,111.02,194708
nostalgic night,7MC2mQvMmir9PM3nAe2SuW,['VICTON'],"{'k-pop boy group', 'k-pop'}",False,2019-11-04,57,0.576,0.869,6,-2.695,0,0.0898,0.192,0.0,0.594,0.628,140.033,195733
