Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,2/14/2020,Moonbyul,Eclipse,달이 태양을 가릴 때,,Youtube,Girl Solo,Major
,2/13/2020,AB6IX,Moondance (Jeon Woong),,,Youtube,Boy,Special
,2/12/2020,Sumin+Zion.T,Dirty Love,더럽게,,Youtube,Special,Major
,2/12/2020,BLACK6IX,Call My Name,,,Youtube,Boy,Major
,2/12/2020,KARD,Red Moon,,ZANYBROS,Youtube,Co-ed,Major
,2/11/2020,AlphaBAT,Again,불러본다,,Youtube,Boy,Special
,2/11/2020,Pentagon,Dr. Bebe,Dr. 베베,ZANYBROS,Youtube,Boy,Major
,2/11/2020,Cherry Bullet,Hands Up,무릎을 탁 치고,,Youtube,Girl,Major
Post,2/10/2020,Rocket Punch,Bouncy,바운시,ZANYBROS,Youtube,Girl,Major
,2/9/2020,The Boyz,Reveal,,,Youtube,Boy,Major
,2/8/2020,Sunmi,Gotta Go,가라고,,Youtube,Girl Solo,OST
,2/6/2020,iKON,Dive,뛰어들게,,Youtube,Boy,Major
,2/6/2020,BVNDIT,Cool,,,Youtube,Girl,Special
Post,2/5/2020,Loona,So What,,Digipedi,Youtube,Girl,Major
,2/5/2020,SAAY,Winter feat. WOO,,,Youtube,Girl Solo,Major
,2/4/2020,Mamamoo,HIP -Japanese ver.-,,,Youtube,Girl,Japanese
Post,2/3/2020,cignature,Nun Nu Nan Na,눈누난나,,Youtube,Girl,Major
,2/3/2020,DKB,Sorry Mama,미안해 엄마,,Youtube,Boy,Major
Post,2/3/2020,Everglow,Dun Dun,,,Youtube,Girl,Major
Post,2/3/2020,GFRIEND,Crossroads,교차로,,Youtube,Girl,Major
,2/3/2020,Dreamcatcher,Red Sun,,,Youtube,Girl,Minor
,2/2/2020,Kim Jaehwan,Goodbye,안녕,,Youtube,Boy Solo,Major
,1/30/2020,Yezi,My Gravity,,,Youtube,Girl Solo,Major
,1/29/2020,ATEEZ,Answer (Japanese Ver.),,,Youtube,Boy,Japanese
,1/29/2020,Golden Child,Without You,,ZANYBROS,Youtube,Boy,Major
,1/28/2020,Siyeon (Dreamcatcher),Paradise,,,Youtube,Girl Solo,Special
,1/28/2020,SECHSKIES,All For You,,,Youtube,Boy,Major
,1/28/2020,Super Junior,2YA2YAO!,,,Youtube,Boy,Major
,1/24/2020,Nature,I'm So Pretty (Japanese ver.),,,Youtube,Girl,Japanese
,1/23/2020,"Dynamic Duo, Chen (EXO)",Alone,혼자,,Youtube,Boy,Special
,1/23/2020,Super Junior,I Think I (Japanese ver.),,,Youtube,Boy,Japanese
,1/22/2020,Gavy NJ,I’m in Sinchon,신촌에 왔어,,Youtube,Girl,Major
,1/21/2020,"Paul Kim, Chungha",Loveship,,,Youtube,Co-ed,Special
,1/20/2020,Kiara,Boss,,,Youtube,Girl Solo,Major
,1/17/2020,OnlyOneOf,meSAGE,,,Youtube,Boy,Minor
,1/17/2020,BTS,Black Swan,,,Youtube,Boy,Minor
,1/15/2020,CRAXY,My Universe,,,Youtube,Girl,Minor
,1/15/2020,TVXQ!,Manazashi,,,Youtube,Boy,Japanese
,1/15/2020,Taeyeon,Dear Me,내게 들려주고 싶은 말,,Youtube,Girl Solo,Major
,1/14/2020,TXT,Run Away (Japanese Ver.),9と4分の3番線で君を待つ,,Youtube,Boy,Japanese
